Source,Target,Weight
2,8649,1
2,8625,1
2,8620,1
2,8618,1
2,8617,1
2,8609,1
2,8607,1
2,8606,1
2,8603,1
2,8594,1
2,8583,1
2,8576,1
2,8572,1
2,8571,1
2,8562,1
2,8555,1
2,8531,1
2,8530,1
2,8508,1
2,8505,1
2,8498,1
2,8495,1
2,8494,1
2,8483,1
2,8479,1
2,8477,1
2,8475,1
2,8470,1
2,8465,1
2,8464,1
2,8461,1
2,8452,1
2,8449,1
2,8433,1
2,8431,1
2,8430,1
2,8428,1
2,8424,1
2,8423,1
2,8419,1
2,8418,1
2,8415,1
2,8414,1
2,8404,1
2,8396,1
2,8390,1
2,8382,1
2,8381,1
2,8380,1
2,8379,1
2,8374,1
2,8372,1
2,8370,1
2,8367,1
2,8366,1
2,8364,1
2,8363,1
2,8362,1
2,8360,1
2,8359,1
2,8356,1
2,8351,1
2,8349,1
2,8347,1
2,8345,1
2,8344,1
2,8341,1
2,8340,1
2,8336,1
2,8335,1
2,8331,1
2,8325,1
2,8321,1
2,8320,1
2,8316,1
2,8309,1
2,8308,1
2,8301,1
2,8275,1
2,8268,1
2,8262,1
2,8256,1
2,8211,1
2,8202,1
2,8181,1
2,8180,1
2,8178,1
2,8174,1
2,8161,1
2,8143,1
2,8126,1
2,8116,1
2,8078,1
2,8048,1
2,8026,1
2,7996,1
2,7993,1
2,7981,1
2,7973,1
2,7962,1
8649,2,1
8625,2,1
8620,8180,1
8617,8256,1
8617,2,1
8609,8608,1
8609,8607,1
8609,8604,1
8609,8549,1
8609,8514,1
8609,8175,1
8609,8040,1
8609,8017,1
8609,7950,1
8609,7699,1
8609,7138,1
8609,6692,1
8609,6681,1
8609,6427,1
8609,6306,1
8609,5953,1
8609,5737,1
8609,5592,1
8609,5517,1
8609,5394,1
8609,5068,1
8609,4873,1
8609,4526,1
8609,4332,1
8609,4296,1
8609,4016,1
8609,3933,1
8609,3887,1
8609,3844,1
8609,3055,1
8609,1825,1
8609,1767,1
8609,1478,1
8609,1394,1
8609,851,1
8609,816,1
8609,610,1
8609,408,1
8609,386,1
8609,321,1
8609,317,1
8609,246,1
8609,226,1
8609,2,1
8607,8341,1
8607,7336,1
8607,6944,1
8607,6410,1
8607,3469,1
8607,2375,1
8607,2213,1
8606,8608,1
8606,8605,1
8606,8604,1
